author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5070606454,Óscar Serrano,OSCAR,MASCULINO,0.9975,0.0025,37767,IBGE,AU;ES,3
A5070671904,Catherine E. Lovelock,CATHERINE,FEMININO,1.0000,1.0000,1716,IBGE,AU,4
A5047465059,Trisha B. Atwood,TRISHA,INDEFINIDO,,,0,nome ausente do IBGE,AU;US,1
A5020824771,Peter Ian Macreadie,PETER,MASCULINO,0.9939,0.0061,5241,IBGE,AU,4
A5089087468,Robert Canto,ROBERT,MASCULINO,0.9924,0.0076,38733,IBGE,AU,1
A5004573971,Stuart Phinn,STUART,MASCULINO,1.0000,0.0000,219,IBGE,AU,1
A5020275818,Ariane Arias‐Ortiz,ARIANE,FEMININO,0.9956,0.9956,74371,IBGE,ES;US,3
A5102524404,Le Bai,LE,INDEFINIDO,,,0,nome ausente do IBGE,AU,1
A5068044168,Jeff Baldock,JEFF,MASCULINO,1.0000,0.0000,295,IBGE,AU,1
A5028367057,Camila Bedulli,CAMILA,FEMININO,0.9964,0.9964,471559,IBGE,AU;BR,2
A5067325035,Paul E. Carnell,PAUL,MASCULINO,0.9762,0.0238,2020,IBGE,AU,2
A5037685160,Rod M. Connolly,ROD,INDEFINIDO,0.5658,0.4342,76,nome ambíguo no IBGE,AU,5
A5017690458,Paul M. Donaldson,PAUL,MASCULINO,0.9762,0.0238,2020,IBGE,,1
A5001619318,Alba Esteban,ALBA,FEMININO,0.9970,0.9970,15572,IBGE,AU,1
A5024719884,Carolyn J. Ewers Lewis,CAROLYN,FEMININO,1.0000,1.0000,159,IBGE,AU,1
A5077040357,Bradley David Eyre,BRADLEY,MASCULINO,1.0000,0.0000,87,IBGE,AU,4
A5003336253,Matthew A. Hayes,MATTHEW,MASCULINO,1.0000,0.0000,153,IBGE,AU,1
A5014249938,Pierre Horwitz,PIERRE,MASCULINO,0.9937,0.0063,6179,IBGE,AU,1
A5077218024,Lindsay Beaumont Hutley,LINDSAY,FEMININO,0.9565,0.9565,621,IBGE,AU,1
A5079878030,Christopher R. J. Kavazos,CHRISTOPHER,MASCULINO,0.9923,0.0077,2719,IBGE,AU,1
A5024501909,Jeffrey J. Kelleway,JEFFREY,MASCULINO,1.0000,0.0000,314,IBGE,AU,2
A5062573833,Gary A. Kendrick,GARY,MASCULINO,1.0000,0.0000,177,IBGE,AU,2
A5032580851,Kieryn L. Kilminster,KIERYN,INDEFINIDO,,,0,nome ausente do IBGE,AU,1
A5009213984,Anna Lafratta,ANNA,FEMININO,0.9967,0.9967,55609,IBGE,AU,2
A5020800076,Shing Yip Lee,SHING,INDEFINIDO,,,0,nome ausente do IBGE,AU;HK,3
A5016834453,Paul S. Lavery,PAUL,MASCULINO,0.9762,0.0238,2020,IBGE,AU;ES,2
A5067779433,Damien Troy Maher,DAMIEN,MASCULINO,1.0000,0.0000,54,IBGE,AU,4
A5036393696,Núria Marbà,NURIA,FEMININO,1.0000,1.0000,1455,IBGE,ES,2
A5011255450,Pere Masqué,PERE,INDEFINIDO,,,0,nome ausente do IBGE,AU;ES;IT;MC,6
A5101908415,Miguel Á. Mateo,MIGUEL,MASCULINO,0.9948,0.0052,240880,IBGE,AU;ES,2
A5043036549,RE Mount,RE,INDEFINIDO,,,0,nome ausente do IBGE,AU,1
A5031307025,Peter J. Ralph,PETER,MASCULINO,0.9939,0.0061,5241,IBGE,AU,3
A5054838793,Chris Roelfsema,CHRIS,INDEFINIDO,0.6021,0.6021,382,nome ambíguo no IBGE,AU,1
A5044538080,Mohammad Rozaimi,MOHAMMAD,MASCULINO,1.0000,0.0000,67,IBGE,AU;ID;MY,2
A5050056730,Radhiyah Ruhon,RADHIYAH,INDEFINIDO,,,0,nome ausente do IBGE,AU;ID,1
A5082210597,Cristian Salinas,CRISTIAN,MASCULINO,0.9667,0.0333,80171,IBGE,AU;CO,1
A5089468543,Jimena Samper‐Villarreal,JIMENA,FEMININO,1.0000,1.0000,158,IBGE,AU;CH;CR,9
A5022853382,Jonathan Sanderman,JONATHAN,MASCULINO,0.9927,0.0073,57677,IBGE,AU;US,2
A5066419873,Christian J. Sanders,CHRISTIAN,MASCULINO,0.9768,0.0232,11463,IBGE,AU;BR;CN,17
A5063133546,Isaac Rodrigues dos Santos,ISAAC,MASCULINO,0.9915,0.0085,27100,IBGE,AU;SE,8
A5089446883,C Sharples,,INDEFINIDO,,,0,nome abreviado,AU,1
A5079431839,Andy Steven,ANDY,INDEFINIDO,0.5808,0.4192,334,nome ambíguo no IBGE,AU,2
A5052391881,Toni Cannard,TONI,MASCULINO,0.9783,0.0217,7806,IBGE,AU,1
A5050181713,Stacey M. Trevathan‐Tackett,STACEY,FEMININO,1.0000,1.0000,29,IBGE,AU,2
A5087569260,Carlos Manuel Duarte,CARLOS,MASCULINO,0.9959,0.0041,1489191,IBGE,AU;BR;SA,20
A5002856269,Nathan Pacoureau,NATHAN,MASCULINO,0.9840,0.0160,17328,IBGE,CA;FR;US,8
A5087750501,Cassandra L. Rigby,CASSANDRA,FEMININO,1.0000,1.0000,4523,IBGE,AU,8
A5074016954,Peter M. Kyne,PETER,MASCULINO,0.9939,0.0061,5241,IBGE,AU,4
A5086410182,Richard B. Sherley,RICHARD,MASCULINO,0.9928,0.0072,50270,IBGE,GB,1
A5086250118,Henning Winker,HENNING,MASCULINO,1.0000,0.0000,39,IBGE,IT;SE,2
A5042039118,John K. Carlson,JOHN,MASCULINO,0.9956,0.0044,19753,IBGE,US,8
A5110267531,Sonja V. Fordham,SONJA,FEMININO,1.0000,1.0000,619,IBGE,US,3
A5006262649,Rodrigo R. P. Barreto,RODRIGO,MASCULINO,0.9953,0.0047,601650,IBGE,BR;US,10
A5032563731,Daniel Fernando,DANIEL,MASCULINO,0.9932,0.0068,711338,IBGE,LK;SE,8
A5036209141,Malcolm P. Francis,MALCOLM,MASCULINO,1.0000,0.0000,130,IBGE,NZ,4
A5021861796,Rima W. Jabado,RIMA,FEMININO,1.0000,1.0000,119,IBGE,AE;AU;CH,7
A5090861767,Katelyn B. Herman,KATELYN,FEMININO,1.0000,1.0000,302,IBGE,US,5
A5112601800,Kwang-Ming Liu,KWANG,MASCULINO,1.0000,0.0000,50,IBGE,TW,1
A5079902325,Andrea Denise Marshall,ANDREA,FEMININO,0.9935,0.9935,176094,IBGE,ES;US,3
A5090801242,Riley A. Pollom,RILEY,INDEFINIDO,0.8358,0.1642,134,nome ambíguo no IBGE,CA;US,8
A5042743351,Evgeny V. Romanov,EVGENY,INDEFINIDO,,,0,nome ausente do IBGE,FR;RE,4
A5003477041,Colin Ashley Simpfendorfer,COLIN,MASCULINO,1.0000,0.0000,72,IBGE,AU;FR,12
A5062978375,Jamie S. Yin,JAMIE,INDEFINIDO,0.5340,0.5340,103,nome ambíguo no IBGE,CA;US,1
A5022190399,Holly K. Kindsvater,HOLLY,INDEFINIDO,,,0,nome ausente do IBGE,US,2
A5011629984,Nicholas K. Dulvy,NICHOLAS,MASCULINO,0.9899,0.0101,5051,IBGE,CA,9
A5011674962,Hudson T. Pinheiro,HUDSON,MASCULINO,0.9948,0.0052,23087,IBGE,BR;PT;US,55
A5072677791,Luiz Alves Rocha,LUIZ,MASCULINO,0.9956,0.0044,1107792,IBGE,AU;FR;US,39
A5073806827,Raphael Mariano Macieira,RAPHAEL,MASCULINO,0.9943,0.0057,32882,IBGE,BR,22
A5001312153,Alfredo Carvalho‐Filho,ALFREDO,MASCULINO,0.9976,0.0024,57357,IBGE,BR;US,14
A5034365299,Antônio B. Anderson,ANTONIO,MASCULINO,0.9966,0.0034,2576348,IBGE,BR,24
A5084028663,Mariana G. Bender,MARIANA,FEMININO,0.9958,0.9958,383387,IBGE,BR,23
A5066827825,Fábio Di Dario,FABIO,MASCULINO,0.9956,0.0044,547965,IBGE,BR;ZA,19
A5018648339,Carlos Eduardo Leite Ferreira,CARLOS,MASCULINO,0.9959,0.0041,1489191,IBGE,AU;BR,69
A5073893849,JESSÉ MIRANDA DE FIGUEIREDO-FILHO,JESSE,MASCULINO,0.9708,0.0292,21849,IBGE,BR;US,4
A5036396710,Ronaldo Bastos Francini-Filho,RONALDO,MASCULINO,0.9969,0.0031,270324,IBGE,BR;PT,51
A5038229150,João Luiz Rosetti Gasparini,JOAO,MASCULINO,0.9959,0.0041,2984119,IBGE,BR,25
A5026780228,Jean‐Christophe Joyeux,JEANCHRISTOPHE,INDEFINIDO,,,0,nome ausente do IBGE,BR,47
A5037051504,Osmar J. Luiz,OSMAR,MASCULINO,0.9969,0.0031,103032,IBGE,AU,19
A5023927342,Michael Maia Mincarone,MICHAEL,MASCULINO,0.9918,0.0082,66277,IBGE,BR;US,28
A5017869442,Rodrigo L. Moura,RODRIGO,MASCULINO,0.9953,0.0047,601650,IBGE,BR;US,47
A5110560015,José de Anchieta C.C. Nunes,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,BR,3
A5027359361,Juan P. Quimbayo,JUAN,MASCULINO,0.9903,0.0097,45735,IBGE,BD;BR;US,41
A5030960504,Ricardo de Souza Rosa,RICARDO,MASCULINO,0.9960,0.0040,469703,IBGE,BR,18
A5028170639,Cláudio Luís Santos Sampaio,CLAUDIO,MASCULINO,0.9954,0.0046,352031,IBGE,BR,36
A5014938881,Iván Sazima,IVAN,MASCULINO,0.9923,0.0077,131234,IBGE,BR,8
A5042402353,Thiony Simon,THIONY,INDEFINIDO,,,0,nome ausente do IBGE,BR,7
A5032850993,Daniele Alves Vila-Nova,DANIELE,FEMININO,0.9919,0.9919,253521,IBGE,BR,5
A5062001564,Sergio R. Floeter,SERGIO,MASCULINO,0.9971,0.0029,404991,IBGE,BR,54
A5039485532,Stella Manes,STELLA,FEMININO,1.0000,1.0000,6051,IBGE,BR;CZ,7
A5016012005,Mark J. Costello,MARK,MASCULINO,0.9823,0.0177,1409,IBGE,NO;NZ,2
A5063611606,Heath Beckett,HEATH,INDEFINIDO,,,0,nome ausente do IBGE,ZA,1
A5085724664,Anindita Debnath,ANINDITA,INDEFINIDO,,,0,nome ausente do IBGE,IN,1
A5010546055,Eleanor S. Devenish‐Nelson,ELEANOR,FEMININO,1.0000,1.0000,58,IBGE,GB,1
