work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W2978107983,10.1038/s41467-019-12176-8,2019,Óscar Serrano,A5070606454,MASCULINO,False,AU
W3122145272,10.1038/s41586-020-03173-9,2021,Nathan Pacoureau,A5002856269,MASCULINO,False,CA
W2791008027,10.1111/ddi.12729,2018,Hudson T. Pinheiro,A5011674962,MASCULINO,False,US
W3153808443,10.1016/j.biocon.2021.109070,2021,Stella Manes,A5039485532,FEMININO,True,BR
W4384023780,10.1038/s41586-023-06113-5,2023,Hudson T. Pinheiro,A5011674962,MASCULINO,True,BR;US
W2793437081,10.1016/j.envpol.2018.01.096,2018,Raqueline Cristina Pereira Monteiro,A5028419418,FEMININO,True,BR
W2810413605,10.1126/sciadv.aar4313,2018,Daniel C. Dunn,A5071872795,MASCULINO,False,US
W2895849552,10.1016/j.envpol.2018.10.032,2018,Jiana Li,A5014545352,FEMININO,False,CN;GB
W2984236828,10.1016/j.oneear.2019.10.012,2019,Joachim Claudet,A5035471508,MASCULINO,False,FR;PF
W3012547664,10.1038/s41586-020-2126-y,2020,Mark Andrew Hindell,A5005524765,MASCULINO,False,AU
W3005800062,10.1016/j.marpolbul.2020.110961,2020,Rafael A. Magris,A5072954955,MASCULINO,True,BR
W3049326898,10.1038/s41559-020-1259-6,2020,Jan‐Gunnar Winther,A5057368036,INDEFINIDO,False,NO
W2793980995,10.1073/pnas.1716137115,2018,Ana M. M. Sequeira,A5046953441,FEMININO,False,AU
W2914346320,10.1016/j.envres.2019.02.005,2019,Maria Christina Barbosa de Araújo,A5101546315,FEMININO,True,BR
W3040265294,10.1007/s10584-020-02783-6,2020,Bárbara C. Franco,A5046991414,FEMININO,False,AR
W2902539101,10.1038/s41396-018-0323-6,2018,Phillipe M. Rosado,A5057260092,MASCULINO,True,BR
W3044165755,10.1038/s41586-020-2519-y,2020,M. Aaron MacNeil,A5002022556,INDEFINIDO,False,CA
W3195791820,10.1126/sciadv.abg1921,2021,Samuel Chaffron,A5029032681,MASCULINO,False,FR
W3091919204,10.1038/s41586-020-2773-z,2020,Sean Maxwell,A5080057121,MASCULINO,False,AU
W2886412908,10.1002/fee.1937,2018,Robert R. Twilley,A5046709199,MASCULINO,False,US
W3214332315,10.1039/d1gc03191k,2021,Nathalia Vieira Porphirio Veríssimo,A5030383547,FEMININO,True,BR
W2963959434,10.3389/fmars.2019.00485,2019,Steve Groom,A5109110338,MASCULINO,False,GB
W3002727796,10.1016/j.cub.2019.12.005,2020,Ross G. Dwyer,A5042095784,INDEFINIDO,False,AU
W3016218381,10.1126/sciadv.aaz5443,2020,Inga Elizabeth Conti-Jerpe,A5037621540,FEMININO,False,HK;IT
W3082804751,10.1038/s41559-020-01291-1,2020,Andrea M. Quattrini,A5065553057,FEMININO,False,US
W3097238638,10.3389/fevo.2020.566936,2020,Sophie Bestley,A5043245085,FEMININO,False,AU
W2789796316,10.1111/gcb.14102,2018,Philip W. Boyd,A5091179334,MASCULINO,False,AU
W2809180041,10.1111/ecog.03506,2018,Juan P. Quimbayo,A5027359361,MASCULINO,True,BR
W3006601371,10.1007/s13280-020-01318-8,2020,James S. Albert,A5068632661,MASCULINO,False,US
W2954081892,10.3389/fmars.2019.00440,2019,Toste Tanhua,A5009172948,INDEFINIDO,False,DE
W3017156868,10.1186/s40168-020-00827-8,2020,Ramiro Logares,A5050212315,MASCULINO,False,ES;NO
W3127143684,10.1007/s13280-020-01496-5,2021,Valter Monteiro Azevedo-Santos,A5021792204,MASCULINO,True,BR
W2809418529,10.1016/j.marpolbul.2018.05.047,2018,Luís Gabriel A. Barboza,A5030464583,MASCULINO,True,BR;PT
W2797202404,10.3389/fmars.2018.00142,2018,Ronaldo Bastos Francini-Filho,A5036396710,MASCULINO,True,BR
W3095907585,10.1111/ddi.13183,2020,Rafael A. Magris,A5072954955,MASCULINO,True,BR
W3171822079,10.1038/s41467-021-23168-y,2021,U. Rashid Sumaila,A5034464331,INDEFINIDO,False,CA
W4205130834,10.1590/1982-0224-2021-0071,2021,Pedro Henrique Cipresso Pereira,A5041167316,MASCULINO,False,
W4366482848,10.1126/science.abl4881,2023,Hans‐Otto Pörtner,A5089898800,INDEFINIDO,False,DE
W2946065053,10.1080/08927014.2019.1624727,2019,Sergey Dobretsov,A5077516160,MASCULINO,False,OM
W3132460167,10.1007/s00338-021-02061-6,2021,Daniele D’Agostino,A5011889544,FEMININO,False,GB
W2954752507,10.3389/fmars.2019.00326,2019,Robert G. Harcourt,A5016236970,MASCULINO,False,AU
W3046667125,10.3389/fmars.2020.00581,2020,Sian F. Henley,A5037005754,MASCULINO,False,GB
W3128808011,10.3354/esr01115,2021,Sarah E. Nelms,A5029942908,FEMININO,False,GB
W4287307713,10.3389/fmars.2022.936109,2022,Vanessa Hatje,A5008351522,FEMININO,True,BR
W4403135446,10.1038/s43247-024-01679-y,2024,Rebecca Zitoun,A5000010647,FEMININO,False,AU;DE
W2791599583,10.1111/conl.12439,2018,Rafael A. Magris,A5072954955,MASCULINO,True,AU;BR;CA
W4383105288,10.1038/s41467-023-38900-z,2023,Bethany L. Clark,A5091405564,INDEFINIDO,False,GB;KE
W3045898002,10.1038/s41467-020-17289-z,2020,Marcelo Ketzer,A5064080624,MASCULINO,False,SE
W2950951810,10.3389/fmars.2019.00367,2019,Gabrielle Canonico,A5066549678,FEMININO,False,US
W4317034991,10.1038/s41467-022-35091-x,2023,C. Samantha Sherman,A5032101752,INDEFINIDO,False,CA
W4323663733,10.1007/s10113-023-02049-8,2023,Ignacio Gianelli,A5088909603,MASCULINO,False,ES;UY
W2932281795,10.1016/j.ecolind.2019.03.030,2019,Catarina Vinagre,A5094008393,FEMININO,False,PT
W3176861949,10.1038/s41598-021-92202-2,2021,Jéssica Bleuel,A5045033411,FEMININO,True,BR
W3019759889,10.1016/j.ocecoaman.2020.105194,2020,Helder Coelho Guabiroba,A5005572877,MASCULINO,True,BR
W2954623285,10.3389/fmars.2019.00445,2019,Bernadette M. Sloyan,A5033001778,FEMININO,False,AU
W3108568155,10.3389/fmars.2020.584861,2020,Kerry L. Howell,A5085927452,INDEFINIDO,False,GB
W2848582504,10.1038/s41598-018-29088-0,2018,Ryan Carlos de Andrades,A5071904908,MASCULINO,True,BR
W4324101822,10.1016/j.cub.2023.02.040,2023,Hudson T. Pinheiro,A5011674962,MASCULINO,True,BR;US
W2956066909,10.3389/fmars.2019.00436,2019,Pierre De Mey-Frémaux,A5070910118,MASCULINO,False,FR
W3205491578,10.1038/s43017-021-00214-3,2021,Christian Robert Voolstra,A5091777836,MASCULINO,False,DE
W3163828296,10.3390/w13101373,2021,Simone Merlo,A5028154954,FEMININO,False,ES
W3170314591,10.1016/j.ocecoaman.2021.105692,2021,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES;IT
W2951392513,10.1038/s41598-019-45042-0,2019,Clarissa Akemi Kajiya Endo,A5008298747,FEMININO,True,BR
W3164352504,10.1186/s43591-020-00002-8,2021,François Galgani,A5009412499,INDEFINIDO,False,FR
W3080954262,10.1073/pnas.1918943117,2020,Mario Lebrato,A5085182597,MASCULINO,False,DE
W4375859384,10.1016/j.marenvres.2023.106021,2023,Hudson Carvalho Ferreira,A5102511142,MASCULINO,True,BR
W4385659813,10.7717/peerj.15729,2023,Mayara Silveira,A5074247931,FEMININO,True,BR
W4286494027,10.1038/s41467-022-31754-x,2022,Lars Max,A5024330767,MASCULINO,False,DE
