author_id,nome,paises,primeiro_nome,obras,genero_ibge,motivo_ibge,genero_wgnd,motivo_wgnd,genero_wgnd_fallback,motivo_wgnd_fallback,detalhe_wgnd
A5070606454,Óscar Serrano,AU;ES,OSCAR,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00; ES:M1.00
A5070671904,Catherine E. Lovelock,AU,CATHERINE,4,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,AU:F1.00/M0.00
A5047465059,Trisha B. Atwood,AU;US,TRISHA,1,INDEFINIDO,nome ausente do IBGE,FEMININO,WGND,FEMININO,WGND,AU:F0.98/M0.02; US:F1.00/M0.00
A5020824771,Peter Ian Macreadie,AU,PETER,4,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5089087468,Robert Canto,AU,ROBERT,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5004573971,Stuart Phinn,AU,STUART,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5020275818,Ariane Arias‐Ortiz,ES;US,ARIANE,3,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,ES:F1.00; US:F1.00/M0.00
A5102524404,Le Bai,AU,LE,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,AU:F0.62/M0.38
A5068044168,Jeff Baldock,AU,JEFF,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5067325035,Paul E. Carnell,AU,PAUL,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5037685160,Rod M. Connolly,AU,ROD,5,INDEFINIDO,nome ambíguo no IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5001619318,Alba Esteban,AU,ALBA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,AU:F0.96/M0.04
A5024719884,Carolyn J. Ewers Lewis,AU,CAROLYN,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,AU:F1.00/M0.00
A5077040357,Bradley David Eyre,AU,BRADLEY,4,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5003336253,Matthew A. Hayes,AU,MATTHEW,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5014249938,Pierre Horwitz,AU,PIERRE,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5077218024,Lindsay Beaumont Hutley,AU,LINDSAY,1,FEMININO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.04/M0.96
A5079878030,Christopher R. J. Kavazos,AU,CHRISTOPHER,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5024501909,Jeffrey J. Kelleway,AU,JEFFREY,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5062573833,Gary A. Kendrick,AU,GARY,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00
A5032580851,Kieryn L. Kilminster,AU,KIERYN,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5009213984,Anna Lafratta,AU,ANNA,2,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,AU:F1.00/M0.00
A5020800076,Shing Yip Lee,AU;HK,SHING,3,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5016834453,Paul S. Lavery,AU;ES,PAUL,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:F0.00/M1.00; ES:M1.00
A5067779433,Damien Troy Maher,AU,DAMIEN,4,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5036393696,Núria Marbà,ES,NURIA,2,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,ES:F1.00
A5011255450,Pere Masqué,AU;ES;IT;MC,PERE,6,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,ES:M1.00
A5101908415,Miguel Á. Mateo,AU;ES,MIGUEL,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00; ES:M1.00
A5043036549,RE Mount,AU,RE,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
